PhoneNumber,name
+56977543386,Robocall
+56977591299,Estafa Laborum
+56977597033,La que cuelga
+56977607517,robocaller vtr
+56977694060,Robocall
+56977887690,Llama y corta
+56978084168,Banco Security
+56978218275,silenciosa
+56978309026,llama y corta
+56978853693,Spam
+56978960282,Vomistar
+56979257189,Estafa Recursos Humanos
+56979457878,Grabación
+56979916894,Ventas SalcoBrand
+56980912539,Vendedora Scotia
+56981879439,Estafa Subtel
+56982068374,Robocall
+56982144696,Encuesta
+56983023101,Spam Vomistar
+56984904065,Ventas VTR
+56987164649,Estafa Recursos Humanos
+56987537756,La que cuelga
+56987582386,Estafa RRHH
+56987587145,Rooocall
+56988898086,Banco Falabella 
+56989333283,Estafa Whatsapp
+56989593703,Vomistar
+56991409291,Estafa RRHH
+56992900331,Robocall
+56993176267,Ejecutiva BCI Visa
+56994291760,Robocall
+56994331718,Robocall
+56994879697,CMR Falabella ofreciendo tarjetas
+56994958028,Grabación
+56995537374,Estafa TikTok
+56995958030,Entel
+56996934065,No solicitada
+56997301614,La que cuelga
+56997891841,Grabación
+56998219429,Silenciosa
+56998643382,Ventas VTR
+56998902870,Silenciosa
+56998913458,Bci Visa
+56998942297,Robocall
+56999676946,Robocall
+56999698204,La que cuelga
+56999937868,Parque del Recuerdo
+639537649043,Estafa Crypto
+816353406.*,Estafa del paquete perdido
